id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.000158133800142,2.51336840229e-09,9.3590521999e-09,4.5102592594e-06,4.19067802682e-08,5.66168978366e-07,5.06317709981e-10,2.25462304115e-06,0.000236516731093,9.27089871539e-08,3.45171713434e-08,9.62871490628e-06,2.54944025073e-05,5.00749806065e-08,4.58351401278e-08,2.65711832981e-07,1.0403836681e-09,0.000141911048559,3.21693505612e-07,1.32640778361e-07,7.7872601878e-07,1.40061962028e-09,1.86707708849e-07,2.5761632827e-09,4.77104578067e-09,2.52587306626e-09,7.99991823897e-07,1.17249121523e-09,1.33913061973e-07,2.53839171904e-09,1.87497448678e-07,0.0027904373128,2.95464110422e-06,0.0210134238005,2.63681755541e-07,7.20775439333e-09,6.29929445495e-07,5.24750687347e-10,5.77882914854e-08,4.58644988655e-09,4.002794185e-08,2.64641994363e-06,1.16240483905e-08,3.60913254838e-08,4.92769913762e-09,0.00138624559622,0.00229796837084,4.86748739092e-08,7.26261291106e-08,3.69446540027e-09,0.000182329516974,0.892189204693,0.000243778471486,1.34814783337e-07,9.11079553134e-07,0.000126510189148,1.59031981184e-06,4.86451803283e-08,0.0386509522796,2.54663429233e-10,0.0208375155926,2.77231091417e-08,2.13934308704e-05,5.10797644893e-06,0.000293576653348,2.66102631485e-07,1.89851959931e-06,4.51334835816e-06,1.15296039382e-07,8.2483231381e-05,1.48895278471e-05,4.40757531806e-07,5.31563273398e-07,4.98337016097e-09,0.00374650559388,1.07581435316e-07,1.62807349824e-08,1.40136125992e-05,3.69679291623e-08,0.00540871778503,5.45938917185e-07,1.46326839534e-10,6.67088170303e-06,0.00847335904837,0.00112489366438,2.93805690887e-08,5.88033890381e-06,3.12838274112e-05,2.45906562668e-06,8.36470690047e-07,4.42007103629e-06,2.56707181734e-07,1.58091515914e-05,0.00036654114956,3.86234023608e-05,5.45065947932e-09,2.3672806492e-05,1.21556009702e-08,1.86641130995e-07
7,1.40267468396e-06,2.21279670143e-08,1.40832439044e-08,2.03435070034e-06,1.52996140201e-08,1.30347686422e-07,1.71710041741e-08,1.16878027256e-05,1.35699826842e-06,9.84365101431e-07,8.5385545856e-11,2.15248428503e-06,0.000118947908049,0.000104489052319,4.25577573182e-09,5.70167451031e-08,9.37003946655e-12,3.37673445756e-05,2.76979079672e-07,0.00130083074328,2.74237277154e-06,1.21705728828e-10,1.69061054045e-09,4.54594477617e-08,1.71008884831e-09,1.63325325486e-10,7.85694373917e-06,6.04856997821e-10,1.21151622068e-08,8.72582735234e-12,1.67970579668e-08,8.41004350605e-07,7.65381003021e-07,0.00206097960472,3.38392283084e-07,1.1877133721e-09,2.09764881021e-08,6.65983518333e-11,5.96378946227e-09,5.08373538821e-08,6.63454891026e-09,0.000116202128993,1.44608776509e-07,5.73544878257e-10,1.57301149883e-09,8.24579365144e-06,2.16519256355e-05,1.98225720283e-07,7.63829757489e-06,9.59634732789e-11,0.196283712983,6.75772753311e-06,0.00041541911196,0.141810446978,0.615687072277,0.00415799673647,0.00105384981725,3.99377398708e-07,1.63233871717e-05,3.09491425543e-11,0.000435313384514,2.9084765707e-09,2.94396365064e-08,3.85831583571e-07,8.44024179969e-06,7.35257854103e-05,1.43496549754e-07,9.09039776786e-09,0.00016146521375,0.000426010490628,4.18481067754e-06,3.12005738579e-07,2.15667284031e-09,1.03285983932e-10,0.00301704625599,3.0587953006e-06,1.0726103028e-06,2.63364574593e-09,1.10791797852e-05,0.00106347643305,2.5223623652e-06,1.13497137036e-11,5.83172040933e-05,0.0101519301534,1.54406188813e-05,6.37971461401e-05,0.0208765175194,0.00016748305643,1.23424724734e-05,1.20701912465e-07,3.30463159059e-08,6.0628093479e-07,2.4042944915e-06,2.30498258702e-07,6.81116143824e-05,3.04818073005e-08,1.22499204736e-06,3.25351856567e-10,0.000135497713927
9,1.72551062327e-09,0.996832311153,1.25860424305e-06,7.54900429456e-06,3.86782585338e-06,0.000143172248499,1.19257574624e-05,2.65230228251e-05,1.35198465756e-08,0.000733264198061,4.11669587308e-09,1.0572876125e-12,5.19753591277e-08,1.45261813689e-09,2.54376936182e-10,1.51469325971e-09,8.89639598968e-13,1.06839263481e-06,1.68247339616e-07,6.01242033937e-09,5.84025627859e-09,5.85131110231e-11,1.02862288132e-10,5.62376545332e-09,3.95322459212e-08,1.21977683509e-09,0.000582105421927,1.57394666744e-10,1.30966952838e-07,1.72511397528e-11,9.33973296924e-06,6.6840772206e-07,4.38507413492e-06,2.81373646605e-10,3.61565838602e-07,8.80336529008e-07,7.33227309979e-08,9.24288179631e-14,2.81387985829e-11,1.73466441211e-09,3.85504712597e-08,6.1812393426e-08,6.44153078611e-06,1.56853141586e-10,7.27349274143e-08,9.00087782085e-11,1.05375397297e-09,7.25965687565e-09,6.10222627984e-08,9.27931967376e-11,8.00267741852e-07,7.91523113719e-09,3.78316533656e-09,7.50985851283e-09,1.3581377134e-09,5.53595711494e-08,1.07498954094e-05,1.87376628102e-10,1.81573049929e-08,1.37407255352e-07,8.73187425143e-11,1.02614903241e-08,6.22296450481e-11,1.26545239709e-06,2.69389215796e-11,9.58638501913e-09,1.85414728548e-06,2.45532101595e-11,5.46759339193e-11,2.8797143159e-07,1.66246294953e-07,3.58688157576e-05,1.5320307245e-09,3.45536127488e-10,1.70902314522e-08,2.53015441558e-05,0.000237275511608,1.22663110138e-13,0.00123358576093,4.16707379713e-09,7.07604413037e-05,2.51990400768e-10,2.27034320233e-06,6.40719588496e-10,2.92707330596e-10,1.06038214653e-05,1.64803793723e-07,1.58252234428e-07,1.69371446646e-06,3.84561751332e-08,7.2976048815e-11,6.31912078219e-10,1.05716125631e-07,1.02608437302e-08,1.95032654915e-07,1.41779817053e-11,5.00790974911e-07,6.06450792362e-11,2.98169680946e-07
12,1.20810900626e-05,9.02491970045e-10,1.78607614809e-10,2.89881829652e-09,5.62113022795e-09,8.27065438358e-09,2.2235316019e-11,7.87506564848e-07,8.25117240311e-07,3.29205045091e-06,4.27151841675e-10,7.39063470974e-05,3.23032763845e-05,0.00519280042499,2.5334509246e-07,4.20783408117e-08,4.53725307326e-10,1.88037392945e-05,2.07350282722e-07,0.924437582493,3.12638917421e-06,6.62703447674e-10,5.30624294504e-11,3.26301541342e-10,2.92844831717e-10,9.38338920453e-11,1.32595999958e-07,5.66786721723e-12,9.12790731888e-10,1.61149229811e-12,1.13777742783e-09,8.37498390638e-08,9.73566756102e-08,9.50417557988e-08,1.73118475111e-09,3.07766728769e-11,5.89388360339e-09,2.27318719946e-13,8.28322826996e-11,3.15564062511e-13,2.00067296063e-10,0.0188806913793,4.21558477015e-09,6.42571551523e-10,1.02206900721e-08,1.06333102323e-08,7.55040652223e-09,0.00104441621806,0.00249840435572,1.29892860357e-10,2.54210249295e-06,1.80314128073e-08,7.10183485353e-08,0.00194453122094,0.000562980829272,6.75081128065e-06,4.83604537749e-07,9.38826238972e-10,1.315756748e-07,3.25557723141e-12,8.32573832099e-08,1.15506618159e-10,2.34174651892e-10,6.80079352833e-08,1.04834017023e-08,1.11600179764e-07,3.60692725687e-10,7.24522525308e-11,2.53116052562e-08,9.33684205506e-08,3.97058963486e-09,4.83087099212e-08,2.87150553335e-10,1.98743907616e-12,0.0432217791677,8.8972837986e-09,3.61957042117e-08,7.77259534512e-10,1.12672374541e-07,2.9239291166e-07,3.29948051103e-08,3.265043097e-11,3.86462666313e-08,0.0019508569967,3.21262655234e-06,6.66949999868e-05,8.63583500177e-06,2.49557619014e-08,3.18104631525e-09,8.94075401447e-06,2.06504457978e-09,5.0904048976e-07,2.55815677974e-07,3.85607307862e-07,1.48682522649e-06,6.41468815843e-08,9.37599065054e-09,1.00468267039e-09,1.87990044651e-05
13,1.95209267986e-05,3.35074801239e-10,7.66151642129e-10,1.75599552676e-08,1.65745014935e-10,6.36741681603e-09,8.96381371907e-11,1.54052923196e-10,2.00616455004e-07,1.40667735238e-08,0.00507566938177,0.000426700687967,0.00199183844961,1.14573452947e-07,0.978172063828,1.5456969038e-07,0.000184262782568,0.000231754063861,4.34469475294e-05,5.14330383838e-11,5.94783159613e-06,4.76405807165e-12,1.4453119257e-10,2.6443602863e-08,3.34950891556e-06,5.47262288819e-07,1.24234475152e-07,3.2835535535e-07,8.8050832403e-08,2.72105560306e-09,4.19031920273e-07,5.27561837771e-07,4.28478514891e-08,1.49975327296e-11,3.59480100087e-06,9.79525835443e-12,9.27309251608e-09,5.54611965242e-08,2.27935170738e-11,8.00857557354e-12,2.69524065288e-08,9.21543744425e-07,3.87115096601e-06,1.09985114705e-06,2.40012010266e-08,6.27889129579e-10,1.33244915101e-10,6.2920645405e-07,8.90952833288e-06,9.5002287287e-12,4.46241754659e-09,4.20267163292e-08,3.77052174372e-06,2.12286480061e-10,3.63607366438e-09,3.17361354973e-08,1.33139366199e-08,5.27203214418e-09,1.45691657849e-07,3.54079832121e-09,2.9083496722e-10,8.71393694979e-06,0.000245060451562,4.53866903172e-07,2.96518898324e-08,3.7014610127e-11,3.32655836246e-05,9.70629887576e-09,2.68315342167e-10,3.98073041197e-09,9.98666635499e-11,1.38854785448e-08,4.00178032578e-05,0.000238602777245,5.11679490955e-06,6.91779827866e-11,5.65925928342e-09,3.52694868866e-08,9.89267140428e-11,5.68940095036e-09,3.42805206444e-09,7.19861236592e-12,4.67040295327e-10,2.47594101666e-07,1.38915061143e-06,8.58449045182e-09,2.8742830338e-08,2.55923926495e-09,1.62770061252e-06,8.95327593753e-06,1.05657974814e-07,0.0131010077894,8.66167756612e-05,5.73489069211e-06,7.60685543355e-06,4.18255808654e-07,3.33443531417e-05,2.51933002238e-10,1.43169097555e-06
16,3.81465581345e-10,3.75924571472e-08,0.00279287435114,0.994973301888,2.35957364758e-10,1.99620146191e-07,2.19218745769e-05,9.40315749176e-06,8.4962158553e-07,3.7026071098e-09,1.6583840079e-08,2.59514371798e-11,8.70505681427e-11,1.47971923603e-09,2.14481806881e-13,6.76888163298e-08,3.75881847891e-14,1.58107749115e-08,7.22796698938e-07,1.0935997663e-09,2.64306464715e-07,5.39915280453e-13,2.43037220571e-07,2.48418241533e-09,4.41914721705e-07,1.89735818168e-08,4.51819460068e-06,5.43831146782e-10,4.367474844e-07,1.07076651545e-07,2.80372864836e-06,8.11331801742e-07,0.000988953281194,2.68213051768e-09,1.14591819056e-06,5.83537449472e-08,2.7468724511e-05,3.26143112517e-09,3.12576187156e-09,1.90523769561e-05,1.51184633523e-06,3.74642900036e-10,4.16399961978e-06,1.72425407285e-10,2.32623861507e-07,6.58942206355e-11,3.72762656298e-06,8.61001381303e-10,4.54996679222e-10,1.7530497453e-12,0.000143093566294,1.34411195063e-07,4.51889690112e-08,1.07159376858e-11,5.49507210568e-11,5.86405768388e-09,2.61036717575e-07,4.57690202893e-06,1.71171143926e-09,2.91711476166e-05,2.67118482888e-09,2.08654569178e-07,2.72943750934e-10,4.96999746247e-07,1.02910724647e-12,4.26736264103e-08,1.22027040561e-06,7.60560769919e-09,2.62372576998e-08,8.47388146212e-05,0.000432557659224,7.93600775069e-05,1.50932363829e-10,1.91179502784e-11,3.17363940683e-10,1.97031813087e-09,8.24469680083e-06,1.10906152317e-10,5.35436086579e-08,0.000153243876412,5.39311986358e-06,2.22470306066e-11,2.77594554063e-05,3.88096629486e-12,2.38274733277e-10,4.98001817562e-09,1.50480623518e-08,7.49571029246e-07,6.13991505816e-05,3.8741534425e-09,1.91499594848e-07,1.21742949055e-10,9.1081356004e-06,4.88636260343e-08,3.86038800571e-06,1.00490041635e-11,9.86250597634e-05,7.53770570266e-12,7.5337752703e-10
19,1.71955143458e-08,1.56816142294e-07,0.000156664347742,0.996967256069,8.90476137272e-10,2.61082209363e-06,4.11132095905e-05,2.4434457373e-05,2.19776447921e-05,1.93315567998e-08,2.57112713342e-08,1.2595627874e-09,1.24738939178e-08,1.2090482393e-08,8.43704758835e-11,2.3079185496e-07,1.19800653772e-12,3.74252044821e-06,8.61833905219e-06,8.66638927288e-10,1.10898419337e-07,1.04698866764e-12,3.81545959272e-07,3.12468650954e-09,3.41755736599e-07,2.22507825498e-08,2.81568409264e-05,2.52702392345e-09,7.27476503926e-07,2.242691437e-07,1.19069145512e-05,0.000181010123924,6.85683990014e-05,2.26453016694e-06,2.88828823614e-06,9.30294277168e-07,5.51472949155e-05,2.43448328163e-09,3.25960201053e-08,3.38670870406e-05,6.86847897668e-06,3.62048524494e-09,9.41529287957e-06,6.284746501e-09,7.13918026918e-08,1.3710138802e-08,2.61685581791e-05,1.78892047842e-08,2.55258192361e-09,1.51457908715e-11,0.00040915622958,5.70620977669e-06,3.45944386027e-06,8.61731450086e-11,1.16304021969e-09,5.43752491922e-08,6.21784829491e-06,6.14203656824e-07,2.86667525273e-08,3.12425157745e-07,6.88779664415e-08,1.42842225159e-07,3.86920468998e-08,2.01575630854e-06,1.86876944475e-10,5.4765849633e-09,6.92882531439e-05,3.15072327339e-07,4.47555681404e-09,9.38070952543e-05,0.000640444166493,3.17707672366e-05,6.3039791165e-09,3.85191184504e-10,6.71998066082e-08,3.26940252648e-08,8.71856536833e-06,2.66441002594e-09,4.83043322674e-07,0.000581556523684,2.76061582554e-05,7.31622401551e-11,1.57721879077e-05,9.84010428695e-10,5.63590205616e-08,8.24798096488e-09,1.75503188871e-07,1.76151461346e-05,9.27426081034e-05,3.96529742375e-09,4.13009857425e-08,4.21395807138e-09,4.61848976556e-05,1.95864436137e-06,8.04711544333e-06,7.29872846189e-12,0.000279268715531,2.94089926023e-11,5.43183054091e-09
23,7.77510521244e-12,2.87733771813e-14,3.810609428e-07,1.13940454294e-11,3.30644983615e-10,1.12709286348e-11,1.25638838526e-13,6.85067508364e-13,1.141129502e-07,1.18883014544e-10,2.27053043034e-09,1.66256841627e-10,6.85284858373e-12,4.99011998389e-10,1.54121084384e-12,3.21907194234e-08,2.6236915418e-10,2.60554663782e-12,7.24824584034e-12,2.15885347251e-13,2.49258058638e-10,1.42715861305e-15,1.15696600744e-07,7.61414582939e-07,1.58806645612e-09,7.91968341218e-06,6.59854549473e-12,2.85519517575e-15,0.999987840652,1.9232466002e-06,5.00500476619e-08,6.23759932594e-09,6.06078451315e-11,7.76869345763e-14,2.88150669991e-10,2.40641222227e-11,1.99446659188e-09,3.38818968541e-12,3.37975064602e-10,9.38837549369e-12,8.68603300397e-10,1.07557154203e-15,6.57596466169e-09,4.68577232571e-10,6.99857707787e-07,7.84351318017e-17,7.33309517709e-13,2.57931560554e-08,2.53564335327e-12,5.63477860021e-14,4.15797118958e-11,4.38320068446e-14,6.93045404052e-12,3.39784380103e-13,1.68021317888e-14,3.90478448187e-12,6.15723791397e-11,2.0279554945e-12,2.89325173079e-15,1.18065609372e-11,1.98724297109e-14,1.33656377632e-10,2.45698341672e-08,4.47690027272e-08,1.42060660144e-17,3.53625561688e-15,4.79262593153e-12,1.17775476871e-11,4.29028232211e-13,3.98406446722e-11,3.55800411356e-09,4.78733639397e-08,5.14555842379e-10,6.01507843642e-14,5.28839972302e-14,4.54670378514e-17,7.76010386592e-14,2.00949486543e-14,6.25261940747e-13,2.09046624455e-09,2.08584194296e-13,1.95658308891e-14,4.32911796688e-11,6.4342389923e-13,6.83920975408e-10,1.01598444284e-13,2.73281917929e-12,1.32573922899e-15,5.40960520823e-08,6.84743639567e-09,1.4637893328e-11,8.66555525253e-12,3.91638099728e-09,4.1480516938e-12,3.93081877811e-12,4.62186088013e-11,9.27730323119e-11,1.6869510888e-13,1.99216337871e-12
24,1.94008243852e-05,1.8089937534e-11,2.05082240079e-09,4.75068695494e-08,5.77981273953e-10,8.82404904701e-09,7.26636329232e-12,1.33116353496e-08,0.000144142584759,7.90270870965e-09,9.80883285706e-09,0.000289077637717,1.99546902877e-05,2.67482537311e-05,6.40036432742e-07,1.34067806812e-06,4.34097824353e-09,2.93459615932e-05,1.15661050586e-05,1.02736987628e-06,2.3804983357e-05,2.51170161059e-11,4.65569769403e-07,2.58007615273e-09,2.85798185118e-09,4.58217392918e-08,6.5056674714e-08,1.70050196147e-10,6.3192103994e-08,3.91010290812e-09,7.05986948901e-08,0.00253333849832,3.69157007185e-08,0.00264782621525,8.17452772139e-09,1.77528391293e-11,9.64207469423e-09,2.3122854742e-08,5.55388979251e-09,4.23587442899e-10,5.09340978283e-08,2.09984282264e-05,2.05470733761e-08,1.06587162918e-06,6.55950316286e-09,2.2287235879e-07,3.63629482081e-07,5.95938990955e-06,4.95026142744e-06,4.59687322929e-11,5.45922785022e-06,2.15228828893e-06,9.92740660877e-06,5.82547201589e-08,6.32564763237e-07,2.06430122489e-05,1.02036644023e-07,1.24456178696e-07,7.72468774812e-05,1.52260116407e-12,5.2762512496e-05,7.9705415601e-09,6.92055905915e-08,6.18289789145e-07,1.50827065681e-06,1.21788179541e-09,7.28150055807e-08,5.96906511419e-06,8.34431375552e-07,3.8104957639e-05,2.55542460081e-07,2.23948082301e-09,2.46601975959e-05,4.38057534691e-10,0.0684808716178,1.28339266298e-11,6.47042919244e-10,1.35146046887e-05,2.42138559203e-10,9.26427844661e-07,7.05080882568e-09,1.83059947409e-12,4.94691008157e-08,9.32715047384e-05,0.924648582935,1.25315784416e-08,4.33060790783e-07,6.6843782065e-08,2.64456787136e-07,0.000123135760077,8.24943583666e-07,2.58563227362e-06,2.64647928816e-06,0.000592616735958,1.48540912051e-05,1.20633870893e-07,9.79018977887e-07,1.96591604107e-10,3.37714510579e-07
28,5.46650044271e-05,6.00471778966e-08,9.50478988671e-06,7.02980696587e-06,4.84406712076e-07,9.54437950895e-07,3.08374259461e-09,0.000291087053483,0.996584415436,2.94919209409e-05,2.35963625528e-06,2.2979206733e-06,6.60004525344e-06,1.69403574546e-05,1.9205085664e-06,1.27166993025e-06,3.9594699075e-08,0.00130292412359,6.05788554822e-05,2.22221814283e-08,1.07948126242e-05,6.80557554755e-11,8.54029110542e-07,5.29938448679e-09,3.46070038404e-07,1.00579427453e-06,6.51421814268e-08,1.99898084197e-10,1.62140133853e-06,2.29780656724e-08,1.0971160691e-06,0.000215913532884,8.37474715354e-07,1.36302091391e-07,1.67254242456e-07,9.44368423461e-08,2.58167619904e-06,1.46346504359e-10,4.82257511702e-10,3.39006667183e-09,5.61891567941e-07,1.69956263107e-06,3.0050975397e-07,9.30268271304e-08,1.43419470078e-06,4.58492310784e-09,1.8138670157e-06,2.54377628153e-05,2.75257734756e-05,2.46719755737e-10,8.81805954123e-06,4.33252665744e-07,3.43343663189e-06,9.14583253575e-09,1.29578578978e-08,1.03820916308e-07,5.64721062801e-07,5.81482346718e-08,5.17700470937e-07,1.05088950875e-08,1.48667098188e-07,1.36422966079e-06,2.64367884029e-07,1.25059170841e-06,1.19296046819e-07,6.5069542643e-08,1.59092578542e-05,5.33412993775e-08,3.16971071612e-09,1.18192165246e-05,2.7760370358e-05,1.32893110276e-05,1.02342013975e-07,7.7699180423e-10,9.34710842557e-05,5.98891547465e-10,3.51377394736e-07,4.22878869699e-08,7.54696145577e-08,4.75993838336e-05,1.25822759856e-06,5.71349426104e-11,1.7554575038e-07,1.1846615962e-05,2.4234464945e-05,9.21742895343e-08,2.05670332321e-07,1.11125473268e-06,7.16833085335e-07,7.48278689571e-05,4.0625013753e-07,4.12324681065e-07,0.000629163696431,0.000316615070915,1.99566766241e-05,1.59138849654e-07,2.34879080381e-05,3.15382442384e-10,4.35258328935e-07
